ItemID,ItemDescription
1,a bit and bridle
2,a cart
3,a saddle
4,saddlebags
5,a sled
6,an abacus
7,acid
8,adamantine armor
9,an amulet
10,an antitoxin
11,an arrow
12,a backpack
13,bag of beans
14,bag of tricks
15,bagpipes
16,poison
17,a basket
18,a battleaxe
19,a bell
20,a blanket
21,a blowgun
22,a book
23,a breastplate
24,a bucket
25,a lantern
26,a candle
27,carpenter's tools
28,a flying carpet
29,a cloak
30,chalk
31,a club
32,cobbler's tools
33,a crowbar
34,a crystal ball
35,a Club
36,a Dagger
37,a Greatclub
38,a Handaxe
39,a Javelin
40,a Light Hammer
41,a Mace
42,a Quarterstaff
43,a Sickle
44,a Spear
45,a 
46,"a Crossbow, light"
47,a Dart
48,a Shortbow
49,a Sling
50,a 
51,a Battleaxe
52,a Flail
53,a Glaive
54,a Greataxe
55,a Greatsword
56,a Halberd
57,a Lance
58,a Longsword
59,a Maul
60,a Morningstar
61,a Pike
62,a Rapier
63,a Scimitar
64,a Shortsword
65,a Trident
66,a War Pick
67,a Warhammer
68,a Whip
69,a Martial Ranged Weapons
70,a Blowgun
71,"a Crossbow, Hand"
72,"a Crossbow, Heavy"
73,a Longbow
74,a Net
75,a 
76,a Agar in a Jar
77,a Alchemy Jug
78,a Amulet of Health
79,a Amulet of Proof against Detection and Location
80,a Amulet of the Planes
81,a Apparatus of the Crab
82,a Arcane Propulsion Arm
83,a Bag of Beans
84,a Bag of Devouring
85,a Bag of Holding
86,a Bag of Tricks
87,a Bead of Force
88,a Belt of Dwarvenkind
89,a Belt of Giant Strength
90,a Boots of Elvenkind
91,a Boots of Levitation
92,a Boots of Speed
93,a Boots of Striding and Springing
94,a Boots of the Winterlands
95,a Bowl of Commanding Water Elementals
96,a Bracers of Archery
97,a Bracers of Defense
98,a Brazier of Commanding Fire Elementals
99,a Brooch of Shielding
100,a Broom of Flying
101,a Candle of Invocation
102,a Cap of Water Breathing
103,a Cape of the Mountebank
104,a Carpet of Flying
105,a Censer of Controlling Air Elementals
106,a Charm of Attraction
107,a Chime of Opening
108,a Circlet of Blasting
109,a Cloak of Arachnida
110,a Cloak of Displacement
111,a Cloak of Elvenkind
112,a Cloak of Protection
113,a Cloak of the Bat
114,a Cloak of the Manta Ray
115,a Cookware of Wonder
116,a Crystal Ball
117,a Crystal Ball of Mind Reading
118,a Crystal Ball of Telepathy
119,a Crystal Ball of True Seeing
120,a Cube of Force
121,a Cubic Gate
122,a Decanter of Endless Water
123,a Deck of Many Things
124,a Dimensional Shackles
125,a Dust of Disappearance
126,a Dust of Dryness
127,a Dust of Sneezing and Choking
128,a Efficient Quiver
129,a Efreeti Bottle
130,a Elemental Gem
131,a Eversmoking Bottle
132,a Eyes of Charming
133,a Eyes of Minute Seeing
134,a Eyes of the Eagle
135,a Feather Token
136,a Featherfall Fetish
137,a Figurine of Wondrous Power
138,a Folded Hot Spring
139,a Folding Boat
140,a Gauntlets of Ogre Power
141,a Gem of Brightness
142,a Gem of Seeing
143,a Gloves of Missile Snaring
144,a Gloves of Swimming and Climbing
145,a Gloves of Thievery
146,a Goggles of Night
147,a Handy Haversack
148,a Hat of Disguise
149,a Headband of Intellect
150,a Helm of Brilliance
151,a Helm of Comprehending Languages
152,a Helm of Telepathy
153,a Helm of Teleportation
154,a Horn of Blasting
155,a Horn of Valhalla
156,a Horseshoes of Speed
157,a Horseshoes of a Zephyr
158,a Immovable Rod
159,a Instant Fortress
160,a Ioun Stone
161,a Ioun Stone of Absorption
162,a Ioun Stone of Agility
163,a Ioun Stone of Awareness
164,a Ioun Stone of Fortitude
165,a Ioun Stone of Greater Absorption
166,a Ioun Stone of Insight
167,a Ioun Stone of Intellect
168,a Ioun Stone of Leadership
169,a Ioun Stone of Mastery
170,a Ioun Stone of Protection
171,a Ioun Stone of Regeneration
172,a Ioun Stone of Reserve
173,a Ioun Stone of Strength
174,a Ioun Stone of Sustenance
175,a Iron Bands of Binding
176,a Iron Flask
177,a Lantern of Revealing
178,a Lantern of Wonder
179,a Mantle of Spell Resistance
180,a Manual of Bodily Health
181,a Manual of Gainful Exercise
182,a Manual of Golems
183,a Manual of Quickness of Action
184,a Marvelous Pigments
185,a Medallion of Thoughts
186,a Mirror of Life Trapping
187,a Necklace of Adaptation
188,a Necklace of Fireballs
189,a Necklace of Prayer Beads
190,a Orb of Dragonkind
191,a Pearl of Power
192,a Periapt of Health
193,a Periapt of Proof against Poison
194,a Periapt of Wound Closure
195,a Pipes of Haunting
196,a Pipes of the Sewers
197,a Portable Hole
198,a Prosthetic Limb
199,a Quin's Invisible Ink
200,a Quiver of Ehlonna
201,a Restorative Ointment
202,a Robe of Eyes
203,a Robe of Scintillating Colors
204,a Robe of Stars
205,a Robe of Useful Items
206,a Robe of the Archmagi
207,a Rope of Climbing
208,a Rope of Entanglement
209,a Scarab of Protection
210,a Sending Stones
211,a Slippers of Spider Climbing
212,a Sovereign Glue
213,a Sphere of Annihilation
214,a Stone of Good Luck
215,a Talisman of Pure Good
216,a Talisman of Ultimate Evil
217,a Talisman of the Sphere
218,a Tome of Clear Thought
219,a Tome of Leadership and Influence
220,a Tome of Understanding
221,a Universal Solvent
222,a Ventilating Lung
223,a Wand Sheath
224,a Well of Many Worlds
225,a Wind Fan
226,a Winged Boots
227,a Wings of Flying
